City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,abepura,-2.6333,140.5833,22.65,95,16,0.14,ID,2025-01-08
267,valparaiso,-33.0393,-71.6273,23.04,53,75,5.14,CL,2025-01-08
268,pitimbu,-7.4706,-34.8086,28.13,65,74,4.62,BR,2025-01-08
269,polyarnyy,69.1989,33.4478,-14.84,93,73,2.9,RU,2025-01-08
270,loa janan,-0.583,117.095,23.68,97,100,0.67,ID,2025-01-08
271,oskarshamn,57.2645,16.4484,3.88,88,100,7.4,SE,2025-01-08
272,xucheng,20.35,110.1288,18.76,81,100,3.16,CN,2025-01-08
273,mandera,3.9366,41.867,33.83,25,9,1.26,KE,2025-01-08
274,vilyuchinsk,52.9306,158.4028,-4.85,83,100,4.01,RU,2025-01-08
275,barkly west,-28.5354,24.5215,34.13,15,6,4.62,ZA,2025-01-08
276,tahlequah,35.9154,-94.97,-5.88,79,0,1.54,US,2025-01-08
277,hamilton,39.1834,-84.5333,-5.08,79,100,3.6,US,2025-01-08
278,balykshi,47.0667,51.8667,-3.0,80,0,9.0,KZ,2025-01-08
279,oamaru,-45.0784,170.9801,13.54,86,89,1.68,NZ,2025-01-08
280,vorkuta,67.5,64.0,-26.77,100,100,1.83,RU,2025-01-08
281,fauske,67.2588,15.3918,-12.01,79,100,4.67,NO,2025-01-08
282,xinmin,41.9908,122.8253,-14.39,59,22,3.61,CN,2025-01-08
283,boa esperanca,-21.09,-45.5658,27.35,64,49,0.81,BR,2025-01-08
284,muravlenko,63.7898,74.523,-23.52,100,74,1.29,RU,2025-01-08
285,greymouth,-42.4667,171.2,10.58,84,0,3.52,NZ,2025-01-08
286,achacachi,-16.05,-68.6833,7.13,88,100,2.47,BO,2025-01-08
287,marsabit,2.3284,37.9899,26.24,32,40,4.88,KE,2025-01-08
288,nova vicosa,-17.8919,-39.3719,29.06,62,73,3.05,BR,2025-01-08
289,kapa'a,22.0752,-159.319,22.18,95,100,2.57,US,2025-01-08
290,santa maria del oro,25.9333,-105.3667,9.16,58,90,1.89,MX,2025-01-08
291,kolokani,13.5728,-8.0339,33.4,12,100,5.54,ML,2025-01-08
292,larreynaga,12.6769,-86.5719,28.46,58,50,0.86,NI,2025-01-08
293,vila franca do campo,37.7167,-25.4333,19.23,84,95,6.78,PT,2025-01-08
294,gubkinskiy,64.434,76.5026,-24.13,100,99,1.19,RU,2025-01-08
295,beebe,35.0706,-91.8796,-3.88,77,54,0.45,US,2025-01-08
296,gordonvale,-17.0936,145.7842,25.88,96,85,1.55,AU,2025-01-08
297,kuanda,56.3161,116.0806,-29.59,95,11,0.57,RU,2025-01-08
298,molepolole,-24.4066,25.4951,26.16,60,100,1.04,BW,2025-01-08
299,swift current,50.2834,-107.8014,0.45,74,0,10.8,CA,2025-01-08
300,alta,69.9689,23.2717,-22.41,84,88,1.03,NO,2025-01-08
301,sihanoukville,10.6093,103.5296,23.97,83,100,1.54,KH,2025-01-08
302,saint-pierre,-21.3393,55.4781,28.82,74,75,9.26,RE,2025-01-08
303,tafo,6.7345,-1.6127,36.88,19,48,3.1,GH,2025-01-08
304,jiamusi,46.8333,130.35,-22.89,90,100,4.01,CN,2025-01-08
305,sumbawa besar,-8.5,117.4333,24.36,97,51,1.6,ID,2025-01-08
306,imbituba,-28.24,-48.6703,21.76,80,100,3.56,BR,2025-01-08
307,kuala belait,4.5833,114.1833,26.44,83,100,0.38,BN,2025-01-08
308,peniche,39.3558,-9.3811,17.89,91,100,6.22,PT,2025-01-08
309,necochea,-38.5473,-58.7368,31.29,28,32,3.96,AR,2025-01-08
310,sandnessjoen,66.0217,12.6316,-4.77,54,0,2.06,NO,2025-01-08
311,montevideo,-34.8335,-56.1674,26.01,60,0,3.09,UY,2025-01-08
312,chokwe,-24.5333,32.9833,34.49,41,100,2.41,MZ,2025-01-08
313,fang,19.9169,99.2145,16.2,75,0,0.62,TH,2025-01-08
314,clarion,41.2148,-79.3853,-6.35,81,53,5.24,US,2025-01-08
315,sakaiminato,35.55,133.2333,1.99,93,75,10.29,JP,2025-01-08
316,vadso,70.0744,29.7487,-6.91,86,75,2.57,NO,2025-01-08
317,katsuura,35.1333,140.3,6.68,66,30,8.37,JP,2025-01-08
318,gongzhuling,43.5008,124.8198,-19.75,82,27,1.48,CN,2025-01-08
319,mikuni,36.2171,136.1519,6.64,56,100,11.21,JP,2025-01-08
320,shemordan,56.1856,50.3972,0.51,97,100,8.44,RU,2025-01-08
321,fortuna,40.5982,-124.1573,3.51,100,0,3.6,US,2025-01-08
322,fale old settlement,-9.3852,-171.2468,28.45,66,100,8.49,TK,2025-01-08
323,puerto deseado,-47.7503,-65.8938,24.08,33,70,12.26,AR,2025-01-08
324,contai,21.7786,87.7536,19.28,53,3,0.95,IN,2025-01-08
325,sisimiut,66.9395,-53.6735,-7.59,80,94,4.41,GL,2025-01-08
326,mooroopna,-36.4,145.35,21.02,32,100,3.28,AU,2025-01-08
